"Circ/Dist and County","County Code","All FilingsTotal","All Filings Chap. 7","All Filings  Chap. 11","All Filings  Chap.12","All Filings Chap.13","Business Filings Total","Business Filings Chap.7","Business Filings Chap.11","Business Filings Chap.12","Business Filings Chap.13","Nonbusiness Filings Total","Nonbusiness Filings Chap.7","Nonbusiness Filings Chap.11","Nonbusiness Filings Chap.13","Bankruptcy Court"
MARICOPA,4013,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
"SAN FRANCISCO",6075,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
FAIRFIELD,9001,1903,1520,50,0,333,104,64,38,0,2,1799,1456,12,331,"2ND  "
HARTFORD,9003,1504,1244,15,0,245,63,45,12,0,6,1441,1199,3,239,"2ND  "
LITCHFIELD,9005,436,385,6,0,45,15,10,5,0,0,421,375,1,45,"2ND  "
MIDDLESEX,9007,292,253,1,0,38,12,11,0,0,1,280,242,1,37,"2ND  "
"NEW HAVEN",9009,1792,1429,18,0,345,52,34,17,0,1,1740,1395,1,344,"2ND  "
"NEW LONDON",9011,396,364,0,1,31,17,15,0,1,1,379,349,0,30,"2ND  "
TOLLAND,9013,193,164,5,0,24,10,3,5,0,2,183,161,0,22,"2ND  "
WINDHAM,9015,226,186,3,0,37,10,6,3,0,1,216,180,0,36,"2ND  "
BROWARD,12011,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
MIAMI-DADE,12086,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"2ND  "
CLAYTON,13063,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
GWINNETT,13135,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
HAMPDEN,25013,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"2ND  "
MIDDLESEX,25017,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"2ND  "
UNION,34039,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
BRONX,36005,4,2,0,0,2,0,0,0,0,0,4,2,0,2,"2ND  "
NASSAU,36059,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
"NEW YORK",36061,2,1,1,0,0,1,0,1,0,0,1,1,0,0,"2ND  "
PUTNAM,36079,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
ROCKLAND,36087,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"2ND  "
WESTCHESTER,36119,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"2ND  "
KENT,44003,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
WASHINGTON,44009,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"2ND  "
AIKEN,45003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"2ND  "
HARRIS,48201,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"2ND  "
"OUTSIDE HOME STATE",88888,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"2ND  "
"OUTSIDE U.S.",99999,6,0,6,0,0,6,0,6,0,0,0,0,0,0,"2ND  "
"ANCHORAGE (MUNICIPALITY)",2020,204,164,0,0,40,13,9,0,0,4,191,155,0,36,AK
"BETHEL (CENSUS AREA)",2050,3,1,0,0,2,0,0,0,0,0,3,1,0,2,AK
"DENALI (BOROUGH)",2068,1,1,0,0,0,0,0,0,0,0,1,1,0,0,AK
"FAIRBANKS NORTH STAR (BOR)",2090,66,54,0,0,12,3,1,0,0,2,63,53,0,10,AK
"JUNEAU (CITY AND BOROUGH)",2110,8,7,0,0,1,2,2,0,0,0,6,5,0,1,AK
"KENAI PENINSULA (BOROUGH)",2122,33,31,0,0,2,2,2,0,0,0,31,29,0,2,AK
"KETCHIKAN GATEWAY (BOROUGH)",2130,13,10,0,0,3,1,1,0,0,0,12,9,0,3,AK
"KODIAK ISLAND (BOROUGH)",2150,2,1,0,1,0,1,0,0,1,0,1,1,0,0,AK
"MATANUSKA-SUSITNA (BOROUGH)",2170,84,73,0,0,11,6,5,0,0,1,78,68,0,10,AK
"NORTHWEST ARCTIC (BOROUGH)",2188,1,1,0,0,0,1,1,0,0,0,0,0,0,0,AK
"PRINCE OF WALES-HYDER (CENSUS)",2198,2,2,0,0,0,0,0,0,0,0,2,2,0,0,AK
"SKAGWAY (MUNICIPALITY)",2230,1,1,0,0,0,1,1,0,0,0,0,0,0,0,AK
"VALDEZ-CORDOVA (CENSUS AREA)",2261,3,3,0,0,0,0,0,0,0,0,3,3,0,0,AK
"WADE HAMPTON (CENSUS AREA)",2270,2,1,0,0,1,0,0,0,0,0,2,1,0,1,AK
"WRANGELL (CITY AND BOROUGH)",2275,1,1,0,0,0,0,0,0,0,0,1,1,0,0,AK
"YAKUTAT (CITY AND BOROUGH)",2282,1,0,0,0,1,0,0,0,0,0,1,0,0,1,AK
SEMINOLE,12117,1,0,0,0,1,1,0,0,0,1,0,0,0,0,AK
UMATILLA,41059,1,0,0,0,1,0,0,0,0,0,1,0,0,1,AK
WEBER,49057,1,0,0,0,1,0,0,0,0,0,1,0,0,1,AK
AUTAUGA,1001,314,88,1,0,225,7,6,1,0,0,307,82,0,225,"AL M"
BALDWIN,1003,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
BARBOUR,1005,211,23,0,0,188,2,2,0,0,0,209,21,0,188,"AL M"
BIBB,1007,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
BLOUNT,1009,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"AL M"
BULLOCK,1011,45,2,0,0,43,0,0,0,0,0,45,2,0,43,"AL M"
BUTLER,1013,199,14,0,0,185,0,0,0,0,0,199,14,0,185,"AL M"
CALHOUN,1015,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"AL M"
CHAMBERS,1017,387,64,0,0,323,3,2,0,0,1,384,62,0,322,"AL M"
CHILTON,1021,198,79,0,0,119,5,5,0,0,0,193,74,0,119,"AL M"
CLARKE,1025,4,1,0,0,3,1,1,0,0,0,3,0,0,3,"AL M"
CLAY,1027,113,23,0,0,90,2,2,0,0,0,111,21,0,90,"AL M"
COFFEE,1031,281,40,1,0,240,1,0,1,0,0,280,40,0,240,"AL M"
CONECUH,1035,40,6,0,0,34,0,0,0,0,0,40,6,0,34,"AL M"
COOSA,1037,47,13,0,0,34,0,0,0,0,0,47,13,0,34,"AL M"
COVINGTON,1039,191,35,0,0,156,2,2,0,0,0,189,33,0,156,"AL M"
