"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US01001,1001,"Autauga County, Alabama",0,"Total for all sectors",2013,817,10120,71267,"$291,673 "
0500000US01003,1003,"Baldwin County, Alabama",0,"Total for all sectors",2013,4871,54988,385826,"$1,668,968 "
0500000US01005,1005,"Barbour County, Alabama",0,"Total for all sectors",2013,464,6611,53116,"$212,757 "
0500000US01007,1007,"Bibb County, Alabama",0,"Total for all sectors",2013,275,3145,27008,"$114,742 "
0500000US01009,1009,"Blount County, Alabama",0,"Total for all sectors",2013,660,6798,49518,"$197,060 "
0500000US01011,1011,"Bullock County, Alabama",0,"Total for all sectors",2013,112,g,D,D
0500000US01013,1013,"Butler County, Alabama",0,"Total for all sectors",2013,393,5711,39381,"$167,113 "
0500000US01015,1015,"Calhoun County, Alabama",0,"Total for all sectors",2013,2311,34871,267603,"$1,104,757 "
0500000US01017,1017,"Chambers County, Alabama",0,"Total for all sectors",2013,515,6431,48077,"$199,255 "
0500000US01019,1019,"Cherokee County, Alabama",0,"Total for all sectors",2013,379,3864,26550,"$113,792 "
0500000US01021,1021,"Chilton County, Alabama",0,"Total for all sectors",2013,703,7396,48920,"$209,104 "
0500000US01023,1023,"Choctaw County, Alabama",0,"Total for all sectors",2013,255,2900,36969,"$140,731 "
0500000US01025,1025,"Clarke County, Alabama",0,"Total for all sectors",2013,586,6648,54374,"$229,367 "
0500000US01027,1027,"Clay County, Alabama",0,"Total for all sectors",2013,190,2993,20213,"$83,786 "
0500000US01029,1029,"Cleburne County, Alabama",0,"Total for all sectors",2013,152,1548,12882,"$60,785 "
0500000US01031,1031,"Coffee County, Alabama",0,"Total for all sectors",2013,954,12762,90161,"$377,958 "
0500000US01033,1033,"Colbert County, Alabama",0,"Total for all sectors",2013,1226,19820,168826,"$714,359 "
0500000US01035,1035,"Conecuh County, Alabama",0,"Total for all sectors",2013,194,2197,16291,"$68,479 "
0500000US01037,1037,"Coosa County, Alabama",0,"Total for all sectors",2013,93,992,6854,"$29,551 "
0500000US01039,1039,"Covington County, Alabama",0,"Total for all sectors",2013,834,10824,76490,"$322,384 "
0500000US01041,1041,"Crenshaw County, Alabama",0,"Total for all sectors",2013,211,3139,23522,"$104,463 "
0500000US01043,1043,"Cullman County, Alabama",0,"Total for all sectors",2013,1714,22185,177834,"$747,179 "
0500000US01045,1045,"Dale County, Alabama",0,"Total for all sectors",2013,766,11924,124770,"$524,119 "
0500000US01047,1047,"Dallas County, Alabama",0,"Total for all sectors",2013,757,10420,80485,"$322,894 "
0500000US01049,1049,"DeKalb County, Alabama",0,"Total for all sectors",2013,1082,16841,127115,"$526,849 "
0500000US01051,1051,"Elmore County, Alabama",0,"Total for all sectors",2013,1135,14056,107319,"$436,590 "
0500000US01053,1053,"Escambia County, Alabama",0,"Total for all sectors",2013,723,9977,82217,"$327,197 "
0500000US01055,1055,"Etowah County, Alabama",0,"Total for all sectors",2013,2008,29796,223152,"$923,090 "
0500000US01057,1057,"Fayette County, Alabama",0,"Total for all sectors",2013,306,3323,30479,"$116,018 "
0500000US01059,1059,"Franklin County, Alabama",0,"Total for all sectors",2013,510,9369,69936,"$292,875 "
0500000US01061,1061,"Geneva County, Alabama",0,"Total for all sectors",2013,400,3791,26497,"$107,961 "
0500000US01063,1063,"Greene County, Alabama",0,"Total for all sectors",2013,99,1379,9755,"$40,420 "
0500000US01065,1065,"Hale County, Alabama",0,"Total for all sectors",2013,195,1966,16067,"$68,822 "
0500000US01067,1067,"Henry County, Alabama",0,"Total for all sectors",2013,293,2754,21697,"$90,893 "
