DBA,ZIPCODE,"CUISINE DESCRIPTION","INSPECTION DATE","VIOLATION CODE","CRITICAL FLAG"
"CLARK'S RESTAURANT",11201,American,2014/01/02,02B,Critical
"CLARK'S RESTAURANT",11201,American,2014/01/02,04H,Critical
"CLARK'S RESTAURANT",11201,American,2014/01/02,04L,Critical
"CLARK'S RESTAURANT",11201,American,2014/01/02,06C,Critical
"BAY RIDGE MANOR CATERING",11209,American,2014/01/02,04N,Critical
"BAY RIDGE MANOR CATERING",11209,American,2014/01/02,06B,Critical
"BAY RIDGE MANOR CATERING",11209,American,2014/01/02,06D,Critical
"BAY RIDGE MANOR CATERING",11209,American,2014/01/02,08A,"Not Critical"
"BAY RIDGE MANOR CATERING",11209,American,2014/01/02,10F,"Not Critical"
"DUNKIN' DONUTS/SUBWAY",11215,Donuts,2014/01/02,10F,"Not Critical"
"DUNKIN' DONUTS/SUBWAY",11215,Donuts,2014/01/02,10J,"Not Critical"
"TOM'S LOG CABIN",11235,American,2014/01/02,04L,Critical
"TOM'S LOG CABIN",11235,American,2014/01/02,04N,Critical
"TOM'S LOG CABIN",11235,American,2014/01/02,08A,"Not Critical"
"TOM'S LOG CABIN",11235,American,2014/01/02,08C,"Not Critical"
"ROCKY'S PIZZA RESTAURANT",11218,Pizza,2014/01/02,06D,Critical
"BASSETT CATERERS",11235,American,2014/01/02,04L,Critical
"BASSETT CATERERS",11235,American,2014/01/02,04M,Critical
"BASSETT CATERERS",11235,American,2014/01/02,06C,Critical
"BASSETT CATERERS",11235,American,2014/01/02,08A,"Not Critical"
"BASSETT CATERERS",11235,American,2014/01/02,22C,"Not Critical"
"BURGER KING",11210,American,2014/01/02,02G,Critical
"BURGER KING",11210,American,2014/01/02,04J,Critical
"BURGER KING",11210,American,2014/01/02,04L,Critical
"BURGER KING",11210,American,2014/01/02,06D,Critical
"BURGER KING",11210,American,2014/01/02,08A,"Not Critical"
"BURGER KING",11210,American,2014/01/02,10A,"Not Critical"
"BURGER KING",11210,American,2014/01/02,10D,"Not Critical"
"BURGER KING",11210,American,2014/01/02,10F,"Not Critical"
"BAHIA RESTAURANT & CAFE",11211,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,04K,Critical
"BAHIA RESTAURANT & CAFE",11211,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,04L,Critical
"BAHIA RESTAURANT & CAFE",11211,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,08A,"Not Critical"
"BARNES & NOBLE CAFE",11201,Café/Coffee/Tea,2014/01/02,06D,Critical
"BARNES & NOBLE CAFE",11201,Café/Coffee/Tea,2014/01/02,09C,"Not Critical"
"BARNES & NOBLE CAFE",11201,Café/Coffee/Tea,2014/01/02,10F,"Not Critical"
"El Charro Bakery",11237,Bakery,2014/01/02,04N,Critical
"El Charro Bakery",11237,Bakery,2014/01/02,08A,"Not Critical"
"El Charro Bakery",11237,Bakery,2014/01/02,10F,"Not Critical"
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,02G,Critical
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,04L,Critical
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,08A,"Not Critical"
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,08B,"Not Critical"
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,10A,"Not Critical"
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,10B,"Not Critical"
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,10F,"Not Critical"
"ISAACS COFFEE SHOP",11210,Café/Coffee/Tea,2014/01/02,16B,"Not Critical"
"THE FIVE SPOT",11205,"Soul Food",2014/01/02,02B,Critical
"THE FIVE SPOT",11205,"Soul Food",2014/01/02,04N,Critical
"THE FIVE SPOT",11205,"Soul Food",2014/01/02,06C,Critical
"THE FIVE SPOT",11205,"Soul Food",2014/01/02,06D,Critical
"THE FIVE SPOT",11205,"Soul Food",2014/01/02,08A,"Not Critical"
"THE FIVE SPOT",11205,"Soul Food",2014/01/02,09B,"Not Critical"
"THE FIVE SPOT",11205,"Soul Food",2014/01/02,10F,"Not Critical"
KITTERY,11231,Seafood,2014/01/02,04H,Critical
KITTERY,11231,Seafood,2014/01/02,04N,Critical
KITTERY,11231,Seafood,2014/01/02,10B,"Not Critical"
KITTERY,11231,Seafood,2014/01/02,15L,"Not Critical"
MCDONALD'S,11209,Hamburgers,2014/01/02,06B,Critical
MCDONALD'S,11209,Hamburgers,2014/01/02,10B,"Not Critical"
MCDONALD'S,11209,Hamburgers,2014/01/02,10F,"Not Critical"
"POSTMARK CAFE",11215,Café/Coffee/Tea,2014/01/02,04A,Critical
"POSTMARK CAFE",11215,Café/Coffee/Tea,2014/01/02,06B,Critical
"POSTMARK CAFE",11215,Café/Coffee/Tea,2014/01/02,10F,"Not Critical"
"BROOKLYN LABEL",11222,American,2014/01/02,04L,Critical
"BROOKLYN LABEL",11222,American,2014/01/02,08A,"Not Critical"
SACHIKO,11235,Japanese,2014/01/02,10F,"Not Critical"
RUTHIE'S,11205,"Soul Food",2014/01/02,04L,Critical
RUTHIE'S,11205,"Soul Food",2014/01/02,06D,Critical
RUTHIE'S,11205,"Soul Food",2014/01/02,08A,"Not Critical"
ALCHEMY,11217,American,2014/01/02,02H,Critical
CHIMU,11237,Peruvian,2014/01/02,04L,Critical
CHIMU,11237,Peruvian,2014/01/02,06D,Critical
CHIMU,11237,Peruvian,2014/01/02,08A,"Not Critical"
CHIMU,11237,Peruvian,2014/01/02,10F,"Not Critical"
CHIMU,11237,Peruvian,2014/01/02,20F,"Not Critical"
"DRAM SHOP",11215,American,2014/01/02,06D,Critical
"DRAM SHOP",11215,American,2014/01/02,10F,"Not Critical"
"DRAM SHOP",11215,American,2014/01/02,10J,"Not Critical"
"EL TIO PIO",11201,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,02B,Critical
"EL TIO PIO",11201,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,06A,Critical
"EL TIO PIO",11201,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,06F,Critical
"EL TIO PIO",11201,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,09C,"Not Critical"
"TED & HONEY",11201,American,2014/01/02,04H,Critical
"TED & HONEY",11201,American,2014/01/02,06E,Critical
"TED & HONEY",11201,American,2014/01/02,09C,"Not Critical"
"TED & HONEY",11201,American,2014/01/02,10F,"Not Critical"
"TED & HONEY",11201,American,2014/01/02,20F,"Not Critical"
"LA TORTILLERIA MEXICANA LOS TRES HERMANOS",11237,Mexican,2014/01/02,02G,Critical
"LA TORTILLERIA MEXICANA LOS TRES HERMANOS",11237,Mexican,2014/01/02,10F,"Not Critical"
"LA TORTILLERIA MEXICANA LOS TRES HERMANOS",11237,Mexican,2014/01/02,20F,"Not Critical"
"MI CASTILLO RESTAURANT",11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,04L,Critical
"MI CASTILLO RESTAURANT",11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,08A,"Not Critical"
"MI CASTILLO RESTAURANT",11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2014/01/02,10J,"Not Critical"
"FRESH TORTILLA GRILL",11209,Tex-Mex,2014/01/02,,"Not Applicable"
"Taqueria El Fogon",11237,Mexican,2014/01/02,06D,Critical
"Taqueria El Fogon",11237,Mexican,2014/01/02,10F,"Not Critical"
"LONGBOW PUB AND PANTRY",11209,Irish,2014/01/02,02B,Critical
"LONGBOW PUB AND PANTRY",11209,Irish,2014/01/02,04L,Critical
"LONGBOW PUB AND PANTRY",11209,Irish,2014/01/02,08A,"Not Critical"
"LONGBOW PUB AND PANTRY",11209,Irish,2014/01/02,10H,"Not Critical"
"HORUS GRILL",11223,"Middle Eastern",2014/01/02,,"Not Applicable"
"YOO'S EVERGREEN SALAD BAR AND SANDWICHES",11212,American,2014/01/02,02B,Critical
"YOO'S EVERGREEN SALAD BAR AND SANDWICHES",11212,American,2014/01/02,02G,Critical
"YOO'S EVERGREEN SALAD BAR AND SANDWICHES",11212,American,2014/01/02,04L,Critical
